Page,Review_ID,Author_Name,Rating_Stars,Review_Title,Review_Text,City,Posted_Date,Helpful_Count,Certified_Buyer,Converted_Date,Sentiment,Misspelled_Title_Words,Misspelled_Text_Words,Cleaned_Review_Title,Cleaned_Review_Text,Tokenized_Review_Title,Tokenized_Review_Text,review_length,length_category,dominant_topic,aspects,complaints,has_complaint
1,P1_REV_007,Swayam Vish,4.0,Pretty good,Good compact phone and having good camera but facing issu in battery because it's 4000 mah and it's not lasting for whole day. I have to carry power bank.I am sharing sample of photos.. it's light balance is very good.,Sehore District,1 month ago,37,Yes,2025-10-27 04:25:15.123540,2,[],['issu'],pretty good,good compact phone good camera facing issue battery mah not lasting whole day carry power bank sharing sample photo light balance good,"['pretty', 'good']","['good', 'compact', 'phone', 'good', 'camera', 'facing', 'issue', 'battery', 'mah', 'not', 'lasting', 'whole', 'day', 'carry', 'power', 'bank', 'sharing', 'sample', 'photo', 'light', 'balance', 'good']",218,long,1,"['camera', 'battery', 'heating']","['heating', 'camera', 'battery', 'design']",True
1,P1_REV_010,Amit Kumar  Behera,5.0,Mind-blowing purchase,"Powerful performance, excellent display,compact size and amazing camera making it an allrounder phone. The only drawback is battery life.",Bhubaneswar,1 month ago,34,Yes,2025-10-27 04:25:15.123601,2,[],[],mind blowing purchase,powerful performance excellent display compact size amazing camera making allrounder phone drawback battery life,"['mind', 'blowing', 'purchase']","['powerful', 'performance', 'excellent', 'display', 'compact', 'size', 'amazing', 'camera', 'making', 'allrounder', 'phone', 'drawback', 'battery', 'life']",137,medium,8,"['camera', 'battery', 'performance', 'display']","['camera', 'battery', 'performance', 'display', 'design']",True
1,P1_REV_009,Arnab Deb,5.0,Awesome,Today received this phone. It's just outstanding.  Battery is good. I m not facing any kind of Heating issue. Camera is far better than I phone. Just shared a photo of my friend in low light.,Dinhata,1 month ago,10,Yes,2025-10-27 04:25:15.123616,2,[],[],awesome,today received phone outstanding battery good not facing kind heating issue camera far better phone shared photo friend low light,['awesome'],"['today', 'received', 'phone', 'outstanding', 'battery', 'good', 'not', 'facing', 'kind', 'heating', 'issue', 'camera', 'far', 'better', 'phone', 'shared', 'photo', 'friend', 'low', 'light']",191,medium,9,"['camera', 'battery', 'heating']","['heating', 'camera', 'battery', 'delivery']",True
1,P1_REV_008,Jayasuriya Anbu,4.0,Good quality product,"After using S24 for 4 days am writing this review overall a good compact and a handy phone if you want a beast camera, clean UI, battery backup is slightly less but it's okay for average use if you want a mobile for daily gaming than the battery backup will be lesser.If you want good handy Samsung phone than go for it🙌",Mumbai,1 month ago,127,Yes,2025-10-27 04:25:15.123620,2,[],[],good quality product,using day writing review overall good compact handy phone want beast camera clean battery backup slightly less okay average use want mobile daily gaming battery backup lesser want good handy samsung phone,"['good', 'quality', 'product']","['using', 'day', 'writing', 'review', 'overall', 'good', 'compact', 'handy', 'phone', 'want', 'beast', 'camera', 'clean', 'battery', 'backup', 'slightly', 'less', 'okay', 'average', 'use', 'want', 'mobile', 'daily', 'gaming', 'battery', 'backup', 'lesser', 'want', 'good', 'handy', 'samsung', 'phone']",320,long,5,"['camera', 'battery']","['camera', 'battery', 'design']",True
1,P1_REV_013,Abhishek Maurya,5.0,Wonderful,Everything is just excellent but only battery is average,Jaunpur,1 month ago,8,Yes,2025-10-27 04:25:15.123625,2,[],[],wonderful,everything excellent battery average,['wonderful'],"['everything', 'excellent', 'battery', 'average']",56,medium,2,['battery'],['battery'],True
1,P1_REV_014,Mayank Shukla,5.0,Best in the market!,I got the phone today the behaviour of delivery agent was awesome... for now i can only say good compact phone with awesome camera and processor a bit dissapointed with the battery and heating issue.... will share more info after some months of use,Raipur,2 months ago,28,Yes,2025-09-27 04:25:15.123629,2,[],['dissapointed'],best market,got phone today behaviour delivery agent wa awesome say good compact phone awesome camera processor bit disappointed battery heating issue share info month use,"['best', 'market']","['got', 'phone', 'today', 'behaviour', 'delivery', 'agent', 'wa', 'awesome', 'say', 'good', 'compact', 'phone', 'awesome', 'camera', 'processor', 'bit', 'disappointed', 'battery', 'heating', 'issue', 'share', 'info', 'month', 'use']",248,long,8,"['camera', 'battery', 'heating']","['heating', 'camera', 'battery', 'performance', 'design', 'delivery']",True
1,P1_REV_016,Niranjan G,5.0,Worth every penny,Hi All. I am writing this review based on my 1 week usage. I bought it in the BBD Sale only. First of all I upgraded from S22 (Base) which i used for more than 1 year but the main problem was battery issue and heating. Did the upgrade was good I will tell you that it was great. I will also compare s24 with previous s22+ Pros* Camera is Great nothing particularly to tell about it. Because even i upgrade from S22 for last several years the camera software is same for samsung.* Processor I...,Chalakudy,28 days ago,8,Yes,2025-10-29 04:25:15.123633,2,[],[],worth every penny,writing review based week usage bought bbd sale first upgraded base used year main problem wa battery issue heating upgrade wa good tell wa great also compare previous pro camera great nothing particularly tell even upgrade last several year camera software samsung processor,"['worth', 'every', 'penny']","['writing', 'review', 'based', 'week', 'usage', 'bought', 'bbd', 'sale', 'first', 'upgraded', 'base', 'used', 'year', 'main', 'problem', 'wa', 'battery', 'issue', 'heating', 'upgrade', 'wa', 'good', 'tell', 'wa', 'great', 'also', 'compare', 'previous', 'pro', 'camera', 'great', 'nothing', 'particularly', 'tell', 'even', 'upgrade', 'last', 'several', 'year', 'camera', 'software', 'samsung', 'processor']",494,long,7,"['camera', 'battery', 'heating']","['heating', 'camera', 'battery', 'performance', 'software']",True
1,P1_REV_012,Pawan Rajput,5.0,Wonderful,"Excellent product and  worth it to buy , if there is an option to choose iphone15or16 and s24 then i would go with s24",Etah,1 month ago,9,Yes,2025-10-27 04:25:15.123637,2,[],[],wonderful,excellent product worth buy option choose iphone15or16 would,['wonderful'],"['excellent', 'product', 'worth', 'buy', 'option', 'choose', 'iphone15or16', 'would']",118,medium,6,[],[],False
1,P1_REV_011,Raja,5.0,Brilliant,Just looking like a wow,Dhenkanal District,1 month ago,64,Yes,2025-10-27 04:25:15.123641,2,[],[],brilliant,looking like wow,['brilliant'],"['looking', 'like', 'wow']",23,short,7,[],[],False
1,P1_REV_015,Kiran Patil,5.0,Simply awesome,"Camera qulity and build qulity , sound qulity of this phon is oustanding. But normal hitting isshue experiance in this phone",Palghar,1 month ago,48,Yes,2025-10-27 04:25:15.123645,2,[],"['qulity', 'qulity', 'qulity', 'phon', 'oustanding.', 'isshue', 'experiance']",simply awesome,camera quality build quality sound quality phone outstanding normal hitting issue experience phone,"['simply', 'awesome']","['camera', 'quality', 'build', 'quality', 'sound', 'quality', 'phone', 'outstanding', 'normal', 'hitting', 'issue', 'experience', 'phone']",124,medium,7,['camera'],"['camera', 'software', 'design', 'speaker', 'quality']",True
